Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
88,2,120,4805.9821128845215,0
88,2,120,4929.9070835113525,0
88,2,120,4386.04211807251,0
88,2,120,4697.106838226318,0
88,2,120,4323.8279819488525,0
88,2,120,4292.7210330963135,0
88,2,120,4292.720794677734,0
88,2,120,4619.340896606445,0
88,2,120,4712.660789489746,0
88,2,120,4961.515188217163,0
88,2,120,4370.487928390503,0
88,2,120,4774.873971939087,0
88,2,120,4323.828220367432,0
88,2,120,4526.0210037231445,0
88,2,120,4666.002035140991,0
88,2,120,4572.1800327301025,0
88,2,120,4883.747816085815,0
88,2,120,4292.719841003418,0
88,2,120,4650.448799133301,0
88,2,120,4526.0210037231445,0
88,2,120,4448.2550621032715,0
88,2,120,4805.981159210205,0
88,2,120,4261.614084243774,0
88,2,120,4805.980920791626,0
88,2,120,4821.533918380737,0
88,2,120,4370.4869747161865,0
88,2,120,4634.895086288452,0
88,2,120,4914.855003356934,0
88,2,120,4961.012125015259,0
88,2,120,4681.553840637207,0
88,2,120,4277.169227600098,0
88,2,120,4914.855003356934,0
88,2,120,4728.2140254974365,0
88,2,120,4308.274984359741,0
88,2,120,4837.088108062744,0
88,2,120,4868.195056915283,0
88,2,120,4821.533918380737,0
88,2,120,4634.895086288452,0
88,2,120,4603.788137435913,0
88,2,120,4479.362010955811,0
88,2,120,4308.274030685425,0
88,2,120,4314.294815063477,0
88,2,120,4930.408000946045,0
88,2,120,4370.488166809082,0
88,2,120,4401.594161987305,0
88,2,120,4883.245944976807,0
88,2,120,4759.320020675659,0
88,2,120,4541.574954986572,0
88,2,120,4339.380979537964,0
88,2,120,4603.787899017334,0
88,2,120,4759.320974349976,0
88,2,120,4277.168035507202,0
88,2,120,5008.173942565918,0
88,2,120,4837.087869644165,0
88,2,120,4883.747100830078,0
88,2,120,4354.933977127075,0
88,2,120,4634.893894195557,0
88,2,120,4681.5550327301025,0
88,2,120,4417.147159576416,0
88,2,120,4914.855003356934,0
88,2,120,4417.146921157837,0
88,2,120,4634.895086288452,0
88,2,120,4992.620944976807,0
88,2,120,4292.72198677063,0
88,2,120,4712.661027908325,0
88,2,120,4463.808059692383,0
88,2,120,4712.661981582642,0
88,2,120,4526.021957397461,0
88,2,120,4681.5550327301025,0
88,2,120,4930.408954620361,0
88,2,120,4386.039972305298,0
88,2,120,4354.934930801392,0
88,2,120,4354.935169219971,0
88,2,120,4526.0210037231445,0
88,2,120,4977.067947387695,0
88,2,120,4945.962190628052,0
88,2,120,4976.064920425415,0
88,2,120,4526.0210037231445,0
88,2,120,4977.067947387695,0
88,2,120,4526.02219581604,0
88,2,120,4805.9821128845215,0
88,2,120,4837.088108062744,0
88,2,120,4526.019811630249,0
88,2,120,4277.168035507202,0
88,2,120,4665.499925613403,0
88,2,120,4945.961952209473,0
88,2,120,4743.767976760864,0
88,2,120,4697.108030319214,0
88,2,120,4790.427923202515,0
88,2,120,4556.625843048096,0
88,2,120,4261.112928390503,0
88,2,120,4759.320974349976,0
